compound_id	chemical_description	analysis_platform	refractive_index	molar_mass	superpathway	subpathway	pubchem_id	cas_number	kegg_id	hmdb_id
53230	3-hydroxyhexanoate	LC/MS Neg	1725	131.0714	Lipid	Fatty Acid, Monohydroxy	151492	10191-24-9		
39600	3-hydroxyhippurate	LC/MS Neg	1687	194.0459	Xenobiotics	Benzoate Metabolism	450268	1637-75-8		HMDB06116
1549	3-hydroxyisobutyrate	LC/MS Polar	1619	103.0401	Amino Acid	Leucine, Isoleucine and Valine Metabolism	87	2068-83-9	C06001	HMDB00336
32457	3-hydroxylaurate	LC/MS Neg	5175	215.1653	Lipid	Fatty Acid, Monohydroxy	94216	53941-38-1		HMDB00387
63670	3-hydroxymargaroylglycine	LC/MS Neg	5555	342.265	Lipid	Fatty Acid Metabolism (Acyl Glycine)	10545348			
21158	3-hydroxymyristate	LC/MS Neg	5335	243.1966	Lipid	Fatty Acid, Monohydroxy	16064	3422-31-9		
22001	3-hydroxyoctanoate	LC/MS Neg	3446	159.1027	Lipid	Fatty Acid, Monohydroxy	26613	88930-08-9		HMDB01954
61843	3-hydroxyoleate*	LC/MS Neg	5508	297.2435	Lipid	Fatty Acid, Monohydroxy				
61840	3-hydroxyoleoylcarnitine	LC/MS Pos Late	1406	442.3527	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)				
61839	3-hydroxypalmitoylcarnitine	LC/MS Pos Late	1380	416.3371	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)				
1413	3-hydroxyphenylacetate	LC/MS Polar	1220	151.0401	Amino Acid	Phenylalanine Metabolism	12122	621-37-4	C05593	HMDB00440
52921	3-hydroxyphenylacetate sulfate	LC/MS Neg	969	230.9969	Amino Acid	Tyrosine Metabolism				
31943	3-hydroxysebacate	LC/MS Polar	2411	217.1081	Lipid	Fatty Acid, Monohydroxy	3017884	73141-46-5		HMDB00350
31936	3-hydroxysuberate	LC/MS Neg	644	189.0768	Lipid	Fatty Acid, Monohydroxy	22328017	73141-47-6		HMDB00325
63858	3-hydroxytridecanoate	LC/MS Neg	5259	229.1809	Lipid	Fatty Acid, Monohydroxy	5312749	32602-69-0		HMDB61655
63583	3-indoleglyoxylic acid	LC/MS Neg	2140	188.0353	Xenobiotics	Food Component/Plant	73863	1477-49-2		
27672	3-indoxyl sulfate	LC/MS Neg	2222.2	212.0023	Amino Acid	Tryptophan Metabolism	10258	2642-37-7		HMDB00682
34381	3-ketosphinganine	LC/MS Pos Late	1400	300.2897	Lipid	Sphingolipid Synthesis	631	18944-28-0	C02934	HMDB01480
48763	3-methoxycatechol sulfate (1)	LC/MS Neg	2163	218.9969	Xenobiotics	Benzoate Metabolism				
44526	3-methyl-2-oxobutyrate	LC/MS Polar	911	115.0401	Amino Acid	Leucine, Isoleucine and Valine Metabolism	49	3715-29-5	C00141	HMDB00019
15676	3-methyl-2-oxovalerate	LC/MS Neg	2064.2	129.0557	Amino Acid	Leucine, Isoleucine and Valine Metabolism	47	1460-34-0;51829-07-3	C00671	HMDB03736
57747	3-methylglutaconate	LC/MS Polar	2700	99.0452	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1551553	5746-90-7		HMDB00522
54676	3-methylglutarate/2-methylglutarate	LC/MS Polar	2832	145.0506	Lipid	Fatty Acid, Dicarboxylate				HMDB00752
15677	3-methylhistidine	LC/MS Neg	906.3	168.0779	Amino Acid	Histidine Metabolism	64969	368-16-1	C01152	HMDB00479
42987	3-methylsulfinylpropyl-glucosinolate	LC/MS Neg	900	422.0255	Xenobiotics	Food Component/Plant		554-88-1		HMDB38406
32445	3-methylxanthine	LC/MS Neg	1700	165.0418	Xenobiotics	Xanthine Metabolism	70639	1076-22-8	C16357	HMDB01886
15749	3-phenylpropionate (hydrocinnamate)	LC/MS Neg	2860	149.0608	Xenobiotics	Benzoate Metabolism	107	501-52-0	C05629	HMDB00764
47089	3-sulfo-L-alanine	LC/MS Pos Early	570	170.0118	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	72886	498-40-8	C00506	HMDB02757
57549	3-ureidoisobutyrate	LC/MS Pos Early	1207	147.0764	Nucleotide	Pyrimidine Metabolism, Uracil containing	160663	2905-86-4	C05100	HMDB02031
3155	3-ureidopropionate	LC/MS Pos Early	875	133.0608	Nucleotide	Pyrimidine Metabolism, Uracil containing	111	462-88-4	C02642	HMDB00026
43507	3b-hydroxy-5-cholenoic acid	LC/MS Neg	5205	373.2748	Lipid	Secondary Bile Acid Metabolism	92997	5255-17-4		HMDB00308
54805	3beta-hydroxy-5-cholestenoate	LC/MS Neg	5398	415.3218	Lipid	Sterol	165511	6561-58-6	C17333	
57585	4-acetamidobenzoate	LC/MS Neg	1403	178.051	Xenobiotics	Chemical	19266	556-08-1	D03836	
1558	4-acetamidobutanoate	LC/MS Pos Early	1350	146.0812	Amino Acid	Polyamine Metabolism	18189	3025-96-5	C02946	HMDB03681
12032	4-acetamidophenol	LC/MS Neg	2173.7	150.0561	Xenobiotics	Drug - Analgesics, Anesthetics	1983	103-90-2	C06804	HMDB01859
15736	4-acetamidophenylglucuronide	LC/MS Neg	1400	326.0881	Xenobiotics	Drug - Analgesics, Anesthetics	83944	120595-80-4		HMDB10316
37475	4-acetaminophen sulfate	LC/MS Neg	1792	230.0129	Xenobiotics	Drug - Analgesics, Anesthetics	83939	10066-90-7;32113-41-0	C06804	HMDB59911
62798	4-acetylcatechol sulfate (1)	LC/MS Neg	1774	230.9969	Xenobiotics	Food Component/Plant				
63597	4-allylcatechol sulfate	LC/MS Neg	3571	229.0176	Xenobiotics	Benzoate Metabolism				
38106	4-aminophenol	LC/MS Pos Early	2247	110.06	Xenobiotics	Drug - Analgesics, Anesthetics	403	123-30-8	C02372	HMDB01169
63988	4-chlorobenzoic acid	LC/MS Neg	3015	154.9905	Xenobiotics	Chemical		74-11-3		
38125	4-cholesten-3-one	LC/MS Pos Late	2520	385.3465	Lipid	Sterol	91477	601-57-0	C00599	HMDB00921
36099	4-ethylphenyl sulfate	LC/MS Neg	3580	201.0227	Xenobiotics	Benzoate Metabolism	20822574	123-07-9	C13637	HMDB62551
15681	4-guanidinobutanoate	LC/MS Pos Early	2320	146.0924	Amino Acid	Guanidino and Acetamido Metabolism	500	463-003;463-00-3	C01035	HMDB03464
21133	4-hydroxybenzoate	LC/MS Polar	1305	137.0244	Xenobiotics	Benzoate Metabolism	135	99-96-7	C00156	HMDB00500
15127	4-hydroxybenzyl alcohol	LC/MS Neg	2215	123.0452	Xenobiotics	Food Component/Plant	125	623-05-2	C17467	HMDB11724
36770	4-hydroxycinnamate	LC/MS Neg	1457	163.0401	Xenobiotics	Food Component/Plant	637542	501-98-4	C00811	HMDB02035
48410	4-hydroxycinnamate sulfate	LC/MS Neg	1000	242.9969	Amino Acid	Tyrosine Metabolism	6070438	376374-66-2		
35527	4-hydroxyhippurate	LC/MS Neg	1475	194.0459	Xenobiotics	Benzoate Metabolism	151012	2482-25-9		HMDB13678
541	4-hydroxyphenylacetate	LC/MS Neg	1361	151.0401	Amino Acid	Phenylalanine Metabolism	127	156-38-7	C00642	HMDB00020
53027	4-hydroxyphenylacetate sulfate	LC/MS Neg	867	230.9969	Amino Acid	Tyrosine Metabolism				
1669	4-hydroxyphenylpyruvate	LC/MS Neg	1690	179.035	Amino Acid	Tyrosine Metabolism	979	156-39-8	C01179	HMDB00707
32349	4-imidazoleacetate	LC/MS Pos Early	2055	127.0502	Amino Acid	Histidine Metabolism	96215	645-65-8	C02835	HMDB02024
22116	4-methyl-2-oxopentanoate	LC/MS Neg	2170	129.0557	Amino Acid	Leucine, Isoleucine and Valine Metabolism	70	816-66-0	C00233	HMDB00695
46146	4-methylcatechol sulfate	LC/MS Neg	2665	203.002	Xenobiotics	Benzoate Metabolism				
40732	4-methylthio-2-oxobutanoate	LC/MS Neg	1635	147.0121	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	473	583-92-6	C01180	HMDB01553
1418	5,6-dihydrothymine	LC/MS Neg	1637.8	127.0513	Nucleotide	Pyrimidine Metabolism, Thymine containing	93556	696-04-8	C00906	HMDB00079
61833	5,6-dihydrouridine	LC/MS Neg	1119	245.0779	Nucleotide	Pyrimidine Metabolism, Uracil containing	94312	5627-05-04 00:00:00		
27673	5-(2-Hydroxyethyl)-4-methylthiazole	LC/MS Pos Early	2310	144.0478	Cofactors and Vitamins	Thiamine Metabolism	1136	137-00-8	C04294	
43582	5-(galactosylhydroxy)-L-lysine	LC/MS Pos Early	2755	325.1606	Amino Acid	Lysine Metabolism	123986	32448-36-5		
34424	5-acetylamino-6-amino-3-methyluracil	LC/MS Polar	1710	197.068	Xenobiotics	Xanthine Metabolism	88299	1196153-01-1	C16366	HMDB04400
18319	5-aminovalerate	LC/MS Pos Early	2220	118.0863	Amino Acid	Lysine Metabolism	138	660-88-8	C00431	HMDB03355
33968	5-dodecenoate (12:1n7)	LC/MS Neg	5224	197.1547	Lipid	Medium Chain Fatty Acid	5312378	2430-94-6		HMDB00529
437	5-hydroxyindoleacetate	LC/MS Pos Early	1893	192.0655	Amino Acid	Tryptophan Metabolism	1826	54-16-0	C05635	HMDB00763
15685	5-hydroxylysine	LC/MS Pos Early	2790	163.1077	Amino Acid	Lysine Metabolism	1029	13204-98-3	C16741	HMDB00450
63160	5-hydroxypicolinic acid	LC/MS Pos Early	1360	140.0342	Amino Acid	Tryptophan Metabolism	268740	125653-67-0		
1419	5-methylthioadenosine (MTA)	LC/MS Pos Early	2752	298.0968	Amino Acid	Polyamine Metabolism	439176	2457-80-9	C00170	HMDB01173
35136	5-methyluridine (ribothymidine)	LC/MS Neg	1778.1	257.0779	Nucleotide	Pyrimidine Metabolism, Uracil containing	445408	1463-10-1		HMDB00884
1494	5-oxoproline	LC/MS Neg	738.5	128.0353	Amino Acid	Glutathione Metabolism	7405	98-79-3	C01879	HMDB00267
37182	5alpha-androstan-3alpha,17alpha-diol disulfate	LC/MS Neg	4547	225.0697	Lipid	Androgenic Steroids				
37183	5alpha-androstan-3alpha,17alpha-diol monosulfate	LC/MS Neg	5208	371.1898	Lipid	Androgenic Steroids				
37184	5alpha-androstan-3alpha,17beta-diol disulfate	LC/MS Neg	4275	225.0697	Lipid	Androgenic Steroids				
37186	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	LC/MS Neg	4925	371.1898	Lipid	Androgenic Steroids				
37187	5alpha-androstan-3beta,17alpha-diol disulfate	LC/MS Neg	4215	225.0697	Lipid	Androgenic Steroids				
37188	5alpha-androstan-3beta,17alpha-diol monosulfate (1)	LC/MS Neg	4806	371.1898	Lipid	Androgenic Steroids				
37190	5alpha-androstan-3beta,17beta-diol disulfate	LC/MS Neg	3880	225.0697	Lipid	Androgenic Steroids	242332	571-20-0	C12525	HMDB00493
37191	5alpha-androstan-3beta,17beta-diol monosulfate (1)	LC/MS Neg	4635	371.1898	Lipid	Androgenic Steroids				
37192	5alpha-androstan-3beta,17beta-diol monosulfate (2)	LC/MS Neg	4685	371.1898	Lipid	Androgenic Steroids				
37198	5alpha-pregnan-3beta,20alpha-diol disulfate	LC/MS Neg	3962	239.0853	Lipid	Progestin Steroids				
37199	5alpha-pregnan-3beta,20alpha-diol monosulfate (1)	LC/MS Neg	4928	399.2211	Lipid	Progestin Steroids				
37200	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	LC/MS Neg	5060	399.2211	Lipid	Progestin Steroids				
37196	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	LC/MS Neg	5180	399.2211	Lipid	Progestin Steroids				
46172	5alpha-pregnan-diol disulfate	LC/MS Neg	4310	239.0853	Lipid	Progestin Steroids	5127902			
46336	6-oxolithocholate	LC/MS Neg	5033	389.2697	Lipid	Secondary Bile Acid Metabolism	164960	2393-61-5		
43231	6-oxopiperidine-2-carboxylate	LC/MS Neg	965	142.051	Amino Acid	Lysine Metabolism	3014237	34622-39-4		HMDB61705
31906	7,12-diketolithocholate	LC/MS Neg	4215	403.249	Lipid	Secondary Bile Acid Metabolism	3080560	517-33-9		
31904	7-ketodeoxycholate	LC/MS Neg	4821	405.2646	Lipid	Secondary Bile Acid Metabolism	188292	911-40-0		HMDB00391
43830	7-ketolithocholate	LC/MS Neg	5082	389.2697	Lipid	Secondary Bile Acid Metabolism	444262	4651-67-6		HMDB00467
35114	7-methylguanine	LC/MS Neg	1729.7	164.0578	Nucleotide	Purine Metabolism, Guanine containing	11361	578-76-7	C02242	HMDB00897
39598	7-methylurate	LC/MS Pos Early	1321	183.0513	Xenobiotics	Xanthine Metabolism	69160	612-37-3	C16355	HMDB11107
34390	7-methylxanthine	LC/MS Pos Early	1350	167.0564	Xenobiotics	Xanthine Metabolism	68374	552-62-5	C16353	HMDB01991
38672	8-hydroxyguanine	LC/MS Pos Early	951	168.0516	Nucleotide	Purine Metabolism, Guanine containing	65154	5614-64-2	C20155	HMDB02032
21239	8-hydroxyoctanoate	LC/MS Neg	2300	159.1027	Lipid	Fatty Acid, Monohydroxy	69820	764-89-6		HMDB61914
38399	9,10-DiHOME	LC/MS Neg	5180	313.2384	Lipid	Fatty Acid, Dihydroxy	9966640	263399-34-4	C14828	HMDB04704
48569	acesulfame	LC/MS Neg	1581	161.9867	Xenobiotics	Food Component/Plant	36573	55589-62-3		HMDB33585
62698	acetylagmatine	LC/MS Pos Early	2514	173.1397	Amino Acid	Polyamine Metabolism	439661	3031-89-8	C02131	
32198	acetylcarnitine (C2)	LC/MS Pos Early	2282	204.123	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Short Chain)	1	5080-50-2	C02571	HMDB00201
15488	acetylphosphate	LC/MS Polar	4013.9	138.9802	Energy	Oxidative Phosphorylation	186	94249-01-1	C00227	HMDB01494
46173	aconitate [cis or trans]	LC/MS Neg	580	173.0092	Energy	TCA Cycle				
554	adenine	LC/MS Pos Early	2221	136.0618	Nucleotide	Purine Metabolism, Adenine containing	190	73-24-5	C00147	HMDB00034
555	adenosine	LC/MS Pos Early	2169	268.104	Nucleotide	Purine Metabolism, Adenine containing	60961	58-61-7	C00212	HMDB00050
32342	AMP	LC/MS Pos Early	1013	348.0704	Nucleotide	Purine Metabolism, Adenine containing	6083	149022-20-8	C00020	HMDB00045
37467	adenosine-2',3'-cyclic monophosphate	LC/MS Neg	1793	328.0452	Nucleotide	Purine Metabolism, Adenine containing	2024	37063-35-7	C02353	HMDB11616
21134	adipate	LC/MS Polar	3000	145.0506	Lipid	Fatty Acid, Dicarboxylate	196	124-04-9	C06104	HMDB00448
32980	adrenate (22:4n6)	LC/MS Neg	5678	331.2643	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	5497181	2091-25-0	C16527	HMDB02226
15496	agmatine	LC/MS Pos Early	3057	131.1291	Amino Acid	Polyamine Metabolism	199	2482-00-0	C00179	HMDB01432
1126	alanine	LC/MS Pos Early	1700	90.055	Amino Acid	Alanine and Aspartate Metabolism	5950	56-41-7	C00041	HMDB00161
37093	alanylleucine	LC/MS Pos Early	3055	203.139	Peptide	Dipeptide	259583	1638-60-4		HMDB28691
33434	allantoic acid	LC/MS Polar	2960	175.0473	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	203	99-16-1	C00499	HMDB01209
1107	allantoin	LC/MS Polar	1672	157.0367	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	204	97-59-6	C02350	HMDB00462
48188	alpha-CEHC	LC/MS Neg	4045	277.1445	Cofactors and Vitamins	Tocopherol Metabolism	9943542	4072-32-6		HMDB01518
47666	alpha-CEHC sulfate	LC/MS Neg	3090	357.1013	Cofactors and Vitamins	Tocopherol Metabolism				
37073	alpha-hydroxycaproate	LC/MS Neg	1920	131.0714	Lipid	Fatty Acid, Monohydroxy	99824	6064-63-7		HMDB01624
22132	alpha-hydroxyisocaproate	LC/MS Neg	1840	131.0714	Amino Acid	Leucine, Isoleucine and Valine Metabolism	83697	10303-64-7	C03264	HMDB00746
46537	alpha-hydroxyisovalerate	LC/MS Polar	1052	117.0557	Amino Acid	Leucine, Isoleucine and Valine Metabolism	99823	600-37-3		HMDB00407
62101	alpha-ketoglutaramate*	LC/MS Polar	1916	144.0302	Amino Acid	Glutamate Metabolism	48	18465-19-5		
528	alpha-ketoglutarate	LC/MS Polar	2700	145.0143	Energy	TCA Cycle	51	305-72-6;328-50-7;22202-68-2	C00026	HMDB00208
1561	alpha-tocopherol	LC/MS Pos Late	2522	430.3782	Cofactors and Vitamins	Tocopherol Metabolism	14985	59-02-9;10191-41-0	C02477	HMDB01893
38288	alpha-tocopherol acetate	LC/MS Pos Late	2702	490.4255	Cofactors and Vitamins	Tocopherol Metabolism	2117	7695-31-2	C13202	HMDB34227
37502	alpha-tocotrienol	LC/MS Pos Late	1986	424.3336	Cofactors and Vitamins	Tocopherol Metabolism	5282347	58864-81-6	C14153	HMDB06327
37207	androstenediol (3alpha, 17alpha) monosulfate (2)	LC/MS Neg	4712	369.1741	Lipid	Androgenic Steroids				
37202	androstenediol (3beta,17beta) disulfate (1)	LC/MS Neg	3740	224.0618	Lipid	Androgenic Steroids	87120982		C04295	HMDB03818
37203	androstenediol (3beta,17beta) disulfate (2)	LC/MS Neg	4065	224.0624	Lipid	Androgenic Steroids				
37211	androstenediol (3beta,17beta) monosulfate (1)	LC/MS Neg	4535	369.1741	Lipid	Androgenic Steroids	13847309	521-17-5		HMDB03818
37210	androstenediol (3beta,17beta) monosulfate (2)	LC/MS Neg	4500	369.1741	Lipid	Androgenic Steroids				
61846	androsterone glucuronide	LC/MS Neg	4953	465.2494	Lipid	Androgenic Steroids	114833	1852-43-3	C11135	HMDB02829
31591	androsterone sulfate	LC/MS Neg	5022	369.1741	Lipid	Androgenic Steroids	159663	2479-86-9		HMDB02759
15747	anserine	LC/MS Neg	1124.8	239.115	Amino Acid	Histidine Metabolism	112072	10030-52-1	C01262	HMDB00194
4970	anthranilate	LC/MS Pos Early	2606	138.055	Amino Acid	Tryptophan Metabolism	227	118-92-3	C00108	HMDB01123
21189	apigenin	LC/MS Neg	3845	269.0455	Xenobiotics	Food Component/Plant	5280443	520-36-5	C01477	HMDB02124
575	arabinose	LC/MS Polar	1804.5	195.051	Carbohydrate	Pentose Metabolism	66308	28697-53-2	C00216	HMDB00646
48885	arabitol/xylitol	LC/MS Polar	1932.4	151.0612	Carbohydrate	Pentose Metabolism				
48255	arabonate/xylonate	LC/MS Polar	2700	165.0405	Carbohydrate	Pentose Metabolism				
1118	arachidate (20:0)	LC/MS Neg	6240	311.2956	Lipid	Long Chain Saturated Fatty Acid	10467	506-30-9	C06425	HMDB02212
1110	arachidonate (20:4n6)	LC/MS Neg	5535	303.233	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	444899	506-32-1	C00219	HMDB01043
57532	arachidoyl ethanolamide (20:0)*	LC/MS Pos Late	1941	356.3523	Lipid	Endocannabinoid	3787294			
57513	arachidoylcarnitine (C20)*	LC/MS Pos Late	1512	456.4047	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)				HMDB06460
57461	argininate*	LC/MS Pos Early	2150	176.103	Amino Acid	Urea cycle; Arginine and Proline Metabolism	160437	157-07-3		HMDB03148
1638	arginine	LC/MS Pos Early	2825	175.119	Amino Acid	Urea cycle; Arginine and Proline Metabolism	232	1119-34-2	C00062	HMDB00517
63590	ascorbic acid 2-sulfate	LC/MS Polar	3042	254.9816	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	86484			
512	asparagine	LC/MS Pos Early	1225	133.0608	Amino Acid	Alanine and Aspartate Metabolism	6267	70-47-3	C00152	HMDB00168
443	aspartate	LC/MS Pos Early	1165	134.0448	Amino Acid	Alanine and Aspartate Metabolism	5960	56-84-8	C00049	HMDB00191
18362	azelate (C9-DC)	LC/MS Neg	1276	187.0976	Lipid	Fatty Acid, Dicarboxylate	2266	123-99-9	C08261	HMDB00784
12125	behenate (22:0)*	LC/MS Neg	6745	339.3269	Lipid	Long Chain Saturated Fatty Acid	8215	112-85-6	C08281	HMDB00944
57331	behenoyl dihydrosphingomyelin (d18:0/22:0)*	LC/MS Pos Late	3150	789.6844	Lipid	Dihydrosphingomyelins				HMDB12091
57534	behenoyl ethanolamide (22:0)*	LC/MS Pos Late	2164	384.3836	Lipid	Endocannabinoid	3023585			
48492	behenoyl sphingomyelin (d18:1/22:0)*	LC/MS Pos Late	3083	787.6688	Lipid	Sphingomyelins				HMDB12103
57514	behenoylcarnitine (C22)*	LC/MS Pos Late	1561	484.436	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)				
15778	benzoate	LC/MS Neg	1750	121.0295	Xenobiotics	Benzoate Metabolism	243	65-85-0	C00180	HMDB01870
38626	berberine	LC/MS Pos Late	795	336.123	Xenobiotics	Food Component/Plant		633-66-9		
55	beta-alanine	LC/MS Pos Early	1905	90.055	Nucleotide	Pyrimidine Metabolism, Uracil containing	239	56-41-7;107-95-9	C00099	HMDB00056
54923	beta-citrylglutamate	LC/MS Neg	530	320.0623	Amino Acid	Glutamate Metabolism	72715786	73590-26-8	C20775	
57591	beta-cryptoxanthin	LC/MS Pos Late	2560	552.4326	Cofactors and Vitamins	Vitamin A Metabolism	6384256	472-70-8		HMDB33844
35101	beta-guanidinopropanoate	LC/MS Pos Early	2145	132.0768	Xenobiotics	Food Component/Plant	67701	353-09-3	C03065	HMDB13222
12129	beta-hydroxyisovalerate	LC/MS Polar	1149.8	117.0557	Amino Acid	Leucine, Isoleucine and Valine Metabolism	69362	625-08-1		HMDB00754
27414	beta-sitosterol	LC/MS Pos Late	3054	397.3829	Lipid	Sterol	222284	83-46-5	C01753	HMDB00852
3141	betaine	LC/MS Pos Early	1064	118.0863	Amino Acid	Glycine, Serine and Threonine Metabolism	247	107-43-7	C00719	HMDB00043
32586	bilirubin (E,E)*	LC/MS Pos Late	1045	585.2708	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	5315454			
43807	bilirubin	LC/MS Pos Late	1840	585.2708	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	5280352	635-65-4	C00486	HMDB00054
2137	biliverdin	LC/MS Neg	4695.6	581.2406	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	5353439	55482-27-4;55482-27-4	C00500	HMDB01008
21181	biochanin A	LC/MS Neg	4681.8	283.0612	Xenobiotics	Food Component/Plant	5280373	491-80-5	C00814	HMDB02338
42971	biocytin	LC/MS Neg	2320	371.1759	Cofactors and Vitamins	Biotin Metabolism	7098660;83814	576-19-2		
12358	biopterin	LC/MS Neg	1398	236.0789	Cofactors and Vitamins	Tetrahydrobiopterin Metabolism	445040	22150-76-1	C06313	HMDB00468
568	biotin	LC/MS Neg	1913.1	243.0809	Cofactors and Vitamins	Biotin Metabolism	171548	58-85-5	C00120	HMDB00030
63191	branched chain 14:0 dicarboxylic acid	LC/MS Neg	3849	257.1758	Lipid	Fatty Acid, Dicarboxylate				
63615	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	LC/MS Neg	4805	169.1234	Partially Characterized Molecules	Partially Characterized Molecules				
43434	brilliant blue FCF (blue 1)	LC/MS Neg	4362	249.0507	Xenobiotics	Chemical	109671	3844-45-9		
41609	bufotenine	LC/MS Pos Early	2564	205.1335	Xenobiotics	Food Component/Plant	10257	487-93-4	C08299	HMDB41842
40605	butyrate/isobutyrate (4:0)	LC/MS Neg	1062	87.0452	Lipid	Short Chain Fatty Acid	264	109-92-6	C00246	HMDB00039
31850	butyrylglycine (C4)	LC/MS Neg	1470	144.0666	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	88412	20208-73-5		HMDB00808
64281	butyrylputrescine/isobutyrylputrescine	LC/MS Pos Early	2798	159.1492	Amino Acid	Polyamine Metabolism				
48782	C-glycosyltryptophan	LC/MS Neg	1777	365.1354	Amino Acid	Tryptophan Metabolism	10981970	180509-18-6		
15308	cadaverine	LC/MS Pos Early	3036	103.123	Amino Acid	Lysine Metabolism	273	462-94-2;1476-39-7	C01672	HMDB02322
21177	caffeate	LC/MS Neg	1165	179.035	Xenobiotics	Food Component/Plant	689043	331-39-5	C01197	HMDB01964
53254	caffeic acid sulfate	LC/MS Neg	870	258.9918	Xenobiotics	Food Component/Plant				HMDB41708
569	caffeine	LC/MS Pos Early	2106	195.0877	Xenobiotics	Xanthine Metabolism	2519	58-08-2	C07481	HMDB01847
63338	calystegine A3	LC/MS Pos Early	2000	160.0968	Xenobiotics	Food Component/Plant	4486820	131580-36-4		HMDB38593
33997	campesterol	LC/MS Pos Late	2873	383.3672	Lipid	Sterol	173183	474-62-4	C01789	HMDB02869
1642	caprate (10:0)	LC/MS Neg	5090.7	171.1391	Lipid	Medium Chain Fatty Acid	2969	334-48-5	C01571	HMDB00511
32489	caproate (6:0)	LC/MS Neg	2713.7	115.0765	Lipid	Medium Chain Fatty Acid	8892	142-62-1	C01585	HMDB00535
32492	caprylate (8:0)	LC/MS Neg	4362	143.1078	Lipid	Medium Chain Fatty Acid	379	124-07-2	C06423	HMDB00482
40007	carboxyethyl-GABA	LC/MS Pos Early	2085	176.0917	Amino Acid	Glutamate Metabolism	2572	4386-03-02 00:00:00		HMDB02201
43333	carboxyibuprofen	LC/MS Neg	1920	235.0976	Xenobiotics	Drug - Analgesics, Anesthetics	10444113	15935-54-3		HMDB60564
15500	carnitine	LC/MS Pos Early	1978	162.1125	Lipid	Carnitine Metabolism	10917	461-05-2	C00318	HMDB00062
1768	carnosine	LC/MS Neg	804	225.0993	Amino Acid	Histidine Metabolism	439224	305-84-0	C00386	HMDB00033
57635	carotene diol (1)	LC/MS Pos Late	1720	568.4276	Cofactors and Vitamins	Vitamin A Metabolism				
57636	carotene diol (2)	LC/MS Pos Late	1904	568.4279	Cofactors and Vitamins	Vitamin A Metabolism				
57637	carotene diol (3)	LC/MS Pos Late	1948	568.4279	Cofactors and Vitamins	Vitamin A Metabolism				
35320	catechol sulfate	LC/MS Neg	1906	188.9863	Xenobiotics	Benzoate Metabolism	3083879	4918-96-1		HMDB59724
57432	ceramide (d18:1/14:0, d16:1/16:0)*	LC/MS Pos Late	2477	510.4881	Lipid	Ceramides				
57434	ceramide (d18:1/17:0, d17:1/18:0)*	LC/MS Pos Late	3055	552.5351	Lipid	Ceramides				
57443	ceramide (d18:2/24:1, d18:1/24:2)*	LC/MS Pos Late	3858	646.6133	Lipid	Ceramides				
57516	cerotoylcarnitine (C26)*	LC/MS Pos Late	1649	540.4986	Lipid	Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)				HMDB06347
54745	cetirizine	LC/MS Pos Late	1052	389.1627	Xenobiotics	Drug - Respiratory	2678	83881-51-0	C07778	HMDB05032
1563	chenodeoxycholate	LC/MS Neg	5264	391.2854	Lipid	Primary Bile Acid Metabolism	10133	474-24-9;474-25-9	C02528	HMDB00518
63607	chenodeoxycholic acid sulfate (1)	LC/MS Neg	4531	235.1175	Lipid	Primary Bile Acid Metabolism				
34120	chlorogenate	LC/MS Neg	1732	353.0878	Xenobiotics	Food Component/Plant	5315832	6001-76-9		
22842	cholate	LC/MS Neg	5165	407.2803	Lipid	Primary Bile Acid Metabolism	221493	81-25-4	C00695	HMDB00619
52973	cholate sulfate	LC/MS Neg	4557	243.1149	Lipid	Primary Bile Acid Metabolism				
63	cholesterol	LC/MS Pos Late	2707	369.3516	Lipid	Sterol	11025495	57-88-5	C00187	HMDB00067
62571	cholic acid glucuronide	LC/MS Neg	4512	583.3124	Lipid	Primary Bile Acid Metabolism				
15506	choline	LC/MS Pos Early	1961	104.107	Lipid	Phospholipid Metabolism	305	67-48-1	C00114	HMDB00097
34396	phosphocholine	LC/MS Pos Early	700	184.0733	Lipid	Phospholipid Metabolism	1014	72556-74-2	C00588	HMDB01565
